You're already standing.	你已經站著了。
Move closer to the chair.	靠近椅子。
You're already sitting down.	你已經坐下了。
If you're hungry, order a meal.	如果肚子餓，點一份飯。
If you're hungry, you should sit down and order a meal.	如果肚子餓，你應該坐下來點一份飯。
You haven't been served yet.	還沒有上菜。
Both meal and drink have been consumed.	餐點和飲料都吃完了。
If you're thirsty, order a drink.	如果口渴，點一杯飲料。
If you're thirsty, you should sit down and order something to drink.	如果口渴，你應該坐下來點一杯飲料。
The drink you ordered is all gone.	你點的飲料全喝完了。
You have already ordered.	你已經點過了。
You're not hungry.	你不餓。
Shema will be back soon.	席瑪很快就回來。
"The tavern is located in the northwest corner of our town."	「酒館位在我們城鎮的西北角。」
"The Guild Hall is just down the street from here."	「公會廳就在這裡的街道下方。」
"Zara's magic shop is next door to my Inn.  You can't miss it."	「莎拉的魔法店就在我客棧隔壁。你絕對找得到。」
"I have run this inn for three years now, with Shema."	「我和席瑪一起經營這家客棧已經三年了。」
"We had thought to return to Shapeir, my homeland, with Abdulla Doo, but Alas, Fate has decreed otherwise."	「我們本想和阿布杜拉·嘟一起回到故鄉夏皮爾，但命運另有安排。」
"Very nice room.  Very soft beds, finest in town.  Only five silvers a night."	「房間很舒適。床很軟，是城鎮裡最好的。一晚只要五枚銀幣。」
I have little knowledge of these things.  Perhaps if you shop around..."	我對這些事瞭解不多。也許你可以多逛逛…」
"Poor Abdulla sits.  He tries to forget his loss in food and drink. I think he will not be sorry if you join him at his table."	「可憐的阿布杜拉坐在那邊。他試著用飲食來忘記失落感。我想他見到你去陪他，應該會很高興。」
"The world is filled with many kinds of creatures, both good and bad."	「這世界充滿各種各樣的生物，有好有壞。」
"Although in this valley I now have friends, I miss my homeland terribly."	「雖然我在這山谷裡現在有朋友，但我真的很想家。」
"My apologies, Wanderer, but for such drink you must go to the tavern at the other end of town."	「抱歉，流浪者，但那種飲料你得去城鎮另一頭的酒館。」
"Alas, the brigands stole all of Abdulla's wealth and mine own when they robbed his caravan.  Now I am forced to stay in this wet, cold land."	「唉，當山賊搶劫了阿布杜拉的商隊，他們也盜走了我們的財富。現在我被迫留在這個寒冷潮濕的土地上。」
"I hoped to return to my homeland with the profits Abdulla, Shema, and I would make from the caravan.  Now, I fear, we will remain here unless someone defeats the brigands and returns our stolen treasures."	「我希望能用阿布杜拉、席瑪和我從商隊賺得的利潤回到故鄉。現在，我恐怕除非有人打敗山賊並歸還我們被竊的寶藏，否則我們會一直留在這裡。」
"Hot spice.  Hot!  I hope you like!"	「辣香料。很辣！希望你喜歡！」
"We live far to the south in the desert lands.  Someday, we may yet return there."	「我們住在南方很遠的沙漠地帶。也許有一天我們會回到那裡。」
"Work of an adventurous sort is available.  You must go to the Hall of the Adventurer's Guild."	「有冒險性質的工作。你必須去冒險者公會廳。」
"I know little about them except that they must be wealthy now."	「我對他們瞭解不多，只知道他們現在應該很有錢。」
"I am Shameen, mate of Shema, innkeeper to the town of Spielburg."	「我是沙敏，席瑪的丈夫，史畢柏格鎮的客棧老闆。」
"Shema is my mate and the light of my life. If you sit down, she will be happy to serve you."	「席瑪是我的妻子，是我生命中的光。如果你坐下來，她會樂意為你服務。」
We Katta are a race of desert dwellers, wanderers of the endless sands."	我們卡塔族是沙漠居民，無盡沙漠的流浪者。」
"I am but a poor unfortunate, forced to seek my fortune in this cold land, far from my homeland, Shapeir, and my people."	「我不過是個可憐人，被迫在這寒冷的土地上尋求發展，遠離我的故鄉夏皮爾和我的人民。」
"We of the Katta know only low and simple spells."	「我們卡塔族只懂簡單的低階法術。」
"Alas, this humble innkeeper is ignorant of that about which you ask."	「唉，這個謙卑的客棧老闆對你問的事一無所知。」
"A thousand pardons!  I am a fool and have no answer for your question."	「千般抱歉！我是個傻瓜，無法回答你的問題。」
"Forgive me, that I am unable to speak with knowledge on that subject."	「原諒我，我無法就那個主題提供知識性的回答。」
Shema, mate of Shameen the innkeeper.	席瑪，客棧老闆沙敏的妻子。
"It is my pleasure to serve you."	「為你效勞是我的榮幸。」
"Then you shall order food or drink."	「那麼你應該點食物或飲料。」
"I am so sorry.  I do not understand."	「非常抱歉。我不懂。」
"Then please enjoy our table and our fire."	「那麼請享受我們的餐桌和爐火。」
"We have very good stew of newborn lamb along with honey chicken for a mere 3 silvers."	「我們有非常好吃的新生羊肉燉菜和蜜汁雞，只需 3 枚銀幣。」
"We have rich black coffee, freshly ground and brewed as only my people do.  Such coffee will bring you to your full alertness."	「我們有濃郁的黑咖啡，用我的人民獨特的方式現磨現泡。這樣的咖啡能讓你完全清醒。」
"We also have a tea of the rarest herbs, which will quench the thirst of the desert.  Each is only one silver."	「我們也有用最稀有香草泡的茶，可以解決沙漠的渴。每一杯只要一枚銀幣。」
"For that sort of beverage you must go to the tavern."	「那種飲料你得去酒館。」
"I am called Shema, mate of Shameen, your humble servant."	「我叫席瑪，是沙敏的妻子，你的謙卑僕人。」
"Shameen is of the oldest and finest ancestry of the Katta people."	「沙敏是卡塔族最古老最優秀的血統。」
"Shapeir is a land of desert sands, flowers, fruit, and beauty.  How I wish to return."	「夏皮爾是一片沙漠、鮮花、果實和美麗的土地。我多希望能回到那裡。」
She merely blushes, as if embarrassed.  She appears to be very shy.	她只是害羞地臉紅。她看起來非常害羞。
You just did.	你剛才做過了。
"Please pay for your order after I bring it."	「請在我送來之後付款。」
"With great pleasure will I serve you a fine meal."	「我很樂意為你端上美味的餐點。」
"I will fetch that which will satisfy your thirst."	「我會拿來能解你渴的東西。」
"I am sorry that our inn has not what you desire."	「我很遺憾我們的客棧沒有你想要的東西。」
The food tastes surprisingly good.	食物嚐起來出乎意料地好吃。
The odor of cooking food wafts through the kitchen door.	烹飪食物的香味飄進廚房門。
This table must have been made for some tall folks, perhaps Goons, Ogres, or Centaurs.	這張桌子肯定是為高大的人設計的，也許是古恩、食人妖或半人馬。
She seems to have retired...or maybe she's at the tavern.	她似乎退休了…也許她在酒館。
This (door?) doesn't have a visible lock.	這（門？）沒有明顯的鎖。
Not the sturdiest you've ever seen.	不是你見過最結實的。
Turn around and go on in.	轉身進去。
The door appears to be locked.  It also appears that the occupant is taking her nap at the bottom of the stairs right now.	門似乎上著鎖。看起來住户現在在樓梯底部打盹。
Not only does this building look weird, but it feels weird to be near it.	這棟建築物不只看起來奇怪，靠近它也感覺很奇怪。
The fence around the Little Old Lady's house looks like it's made of wrought iron.	圍繞老婦人房子的柵欄看起來像是用熟鐵製成的。
There's no getting around it...a shop with its eye on you makes you nervous.	無法繞過…被店盯著讓你緊張。
It would seem that the strangely decorated building is involved in the magic trade.	看起來這個裝飾奇怪的建築物涉及魔法生意。
Isn't it hard to tear your eyes away?\n"PYROMANIA."	很難把目光移開吧？\n「縱火狂。」
Flames? What flames?  You don't see any flames.	火焰？什麼火焰？你看不到任何火焰。
She's deeply asleep in her rocker.	她在搖椅裡深深睡著。
In it sits the Little Old Lady, asleep.	裡面坐著老婦人，在睡覺。
"ZZZZZZZZZZZZZZZZZZZZ"!	「呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼」！
"Grmpf..snrt..hmphspft"!	「嗯…呸…唔唔」！
This looks like a nice, neat little house. There is a grandmotherly little old lady rocking on the front lawn.	這看起來像個漂亮、整潔的小房子。有個祖母般的老婦人在前草坪上搖晃。
Get closer for a good look.	靠近看仔細。
The writing on this page looks very recent.  It says "I, %s, have come to Spielburg to become a Hero."	這頁上的字跡看起來很新鮮。寫著「我、%s 來到史畢柏格要成為英雄。」
The %s entry was made several years ago.  It says: "Baronet Barnard von Spielburg killed a Troll near the Flying Falls on this 23 day of Octember".	%s 的紀錄是幾年前寫的。寫著「少爺巴納德·馮·史畢柏格在飛瀑附近殺死了一隻巨魔，十月伯月二十三日」。
The plaque under the Moose says: "Courtesy of Sierra Online Prop Dept."	麋鹿下面的牌子上寫著「蒙Sierra Online 道具部贈送」。
You never saw a purple Saurus before you came to Spielburg, but it looks like a really stupid monster.  The plaque reads:  "Saurus slain by Hans Halfwitten".	在你來到史畢柏格之前，你從未見過紫色索魯斯，但它看起來像個很愚蠢的怪物。牌子上寫著「索魯斯，被漢斯·哈夫威滕殺死」。
It looks like it must have been a particularly nasty Troll.  You wouldn't want to meet him in a dark forest.  The plaque reads:  "Troll slain by Wolfgang Abenteuer".	它看起來肯定是一隻特別凶惡的巨魔。你不會想在黑暗森林裡碰到它。牌子上寫著「巨魔，被沃夫岡·阿本圖爾殺死」。
This crossbreed of eagle and lion could have torn a man apart when it was alive.  The plaque reads: "Gryphon slain by Wolfgang Abenteuer".	這隻鷹和獅子的混種在活著時能撕裂一個人。牌子上寫著「獅鷲，被沃夫岡·阿本圖爾殺死」。
Even in death, this monster remains awesome.  The plaque reads: "Dragon slain by Baron Stefan von Spielburg".	即使死了，這隻怪物仍然令人畏懼。牌子上寫著「龍，被史蒂芬·馮·史畢柏格男爵殺死」。
The head is like a panther's, but with a strong human-like quality.  It is still rather frightening.  The plaque reads:  "Cheetaur slain by Wolfgang Abenteuer".	頭部像豹子，但有強烈的人類特徵。它仍然相當恐怖。牌子上寫著「獵豹人，被沃夫岡·阿本圖爾殺死」。
This is certainly a weird one! You've never seen anything quite like it.  The plaque reads: "Antwerp slain by Two Guys From Andromeda".	這確實是個奇怪的東西！你從未見過類似的。牌子上寫著「安特衛普，被仙女座的兩位傢伙殺死」。
You see the registration book on the desk and the bulletin board full of job listings.  The man seated by the fire must be the Guild Master.  He is snoring.	你看到桌子上的註冊簿和貼滿工作啟事的公告欄。坐在火邊的男人肯定是公會主人。他在打鼾。
The desk drawers are empty.	桌子的抽屜是空的。
There is no way to close the desk.	沒有辦法關上桌子。
On the desk are an old but ornate leather-bound book and a quill pen in the ink bottle.	桌上放著一本舊但精裝的皮製書籍和插在墨瓶裡的羽毛筆。
You see an ordinary pen and ink.	你看到一支普通的筆和墨水。
You figure that the black head must belong to the Cheetaur, and you have no idea what the four-eyed creature might be.  You are also not quite sure why the Moose head is considered traditional, but every Guild Hall seems to have one.	你推測黑色頭顱肯定屬於獵豹人，你不知道四眼生物可能是什麼。你也不太確定為什麼麋鹿頭被認為是傳統的，但每個公會廳似乎都有一個。
The desk holds a pen, an inkwell, and the Adventurer's Guild Registration and Log Book.	桌上放著筆、墨水瓶和冒險者公會註冊和日誌簿。
He already is.	他已經在了。
"Oh, my young friend!  What shall we talk about?  I have so many stories.  Just ask me about something."	「噢，我的年輕朋友！我們應該談什麼？我有很多故事。你問我什麼都行。」
"Ja.  What with the baron losing his son and daughter, all the monsters, Baba Yaga, and now the brigands, it has been one thing after another."	「是啊。加上男爵失去了他的兒子和女兒，所有的怪物、芭芭雅嘎，現在還有山賊，可說是禍不單行。」
"Baron von Spielburg was once a brave protector of our valley.  We used to adventure together when we were younger.  No brigand or monster would dare show his face here if the Baron had not angered Baba Yaga.  Now it is said that he goes nowhere and sees no one."	「史畢柏格男爵曾經是我們山谷的勇敢保護者。我們年輕時常一起冒險。如果男爵沒有激怒芭芭雅嘎，就不會有山賊或怪物敢在這裡出現。現在據說他足不出戶，也不見任何人。」
"He was a hero and worthy of the name Barnard von Spielburg.  He rode off to hunt one morning five years ago, and his horse returned with large and deep claw marks.  No sign of the Baronet's body was ever found."	「他是個英雄，配得上巴納德·馮·史畢柏格的名號。五年前的某個早上他騎馬去狩獵，馬回來了，身上有大大深深的爪痕。從未發現少爺的屍體。」
