"What?"	「什麼？」
"Then go, before I close the portcullis."	「那麼去吧，在我關上城門之前。」
"Sorry.  I wasn't listening.  Could you repeat youself?"	「抱歉。我沒在聽。你可以重複一遍嗎？」
"OK."	「好的。」
Go ahead.	前進吧。
"That's me. I guard the portcullis day after day."	「那是我。我日復一日地守著城門。」
"The portcullis is the metal grate that bars the entrance to the castle yard.	「城門是金屬柵欄，阻擋著城堡院子的入口。
"This is the Castle of the Baron Stefan von Spielburg, Lord of this Valley."	「這是史蒂芬·馮·史畢柏格男爵的城堡，此山谷的領主。」
"My Lord is busy organizing his troops."	「我的領主正忙著組織他的軍隊。」
"Ten years ago the Baron's daughter, Elsa, was stolen away by magic.  Five years back, the Baronet Barnard von Spielburg went on a hunt from which he did not return."	「十年前，男爵的女兒艾爾莎被魔法偷走了。五年前，小男爵巴納德·馮·史畢柏格去狩獵，卻沒有回來。」
"This was all clearly part of Baba Yaga's curse."	「這顯然都是芭芭雅嘎詛咒的一部分。」
"The Baronet is busy hibernating."	「小男爵正在冬眠。」
"The Baronet Barnard von Spielburg was a proud young man with the dark hair and eyes of his father, the Baron."	「小男爵巴納德·馮·史畢柏格是個驕傲的年輕人，有著像他父親男爵一樣的黑髮和眼睛。」
"He rode off one morning and his horse returned without him.  The horse had been raked by the claws of some large animal.  There is still a reward offered for the safe return of the Baronet, but I fear he is dead."	「他一早騎馬出去，馬卻獨自回來了。馬被某隻大型動物的爪子抓傷了。仍有賞金懸賞小男爵的安全歸還，但我恐怕他已經死了。」
"Elsa von Spielburg was a lovely young child with braided blond hair and bright blue eyes, like her mother, the Baroness, used to have."	「艾爾莎·馮·史畢柏格是個可愛的小女孩，有著編成辮子的金髮和明亮的藍眼睛，就像她母親女男爵從前一樣。」
"A large winged creature flew over the castle walls, grabbed Elsa, and vanished before the guards could fire upon it.  We searched everywhere for her, but to no avail."	「一隻巨大的有翅膀的生物飛過城堡高牆，抓走艾爾莎，在守衛開火前消失了。我們到處尋找她，但徒勞無功。」
"Even the jester, Yorick, joined the search for her.  The Baron sent a troup of guards to storm Baba Yaga's hut, but I think their skulls sit atop her fence now."	「連弄臣尤瑞克都加入了尋找她的行列。男爵派一隊守衛去突襲芭芭雅嘎的小屋，但我想他們的頭顱現在就擺在她的柵欄上了。」
"Elsa von Spielburg would be about eighteen now."	「艾爾莎·馮·史畢柏格現在應該約十八歲了。」
"The stablekeeper could use a strong young person to help clean out the stable.  It does not pay much, but it is good, honest work.  If you would like to take the job, just ask me to open the portcullis."	「馬廄管理人需要一個強壯的年輕人幫忙清理馬廄。薪資不多，但這是誠實的好工作。如果你想做這份工作，就請我打開城門吧。」
"The Baron ordered Baba Yaga to leave and she first cursed the graveyard.  When he then sent the Baronial Guards after her, only the captain returned to the castle."	「男爵命令芭芭雅嘎離開，她先詛咒了墓地。當他派男爵衛隊追捕她時，只有隊長回到了城堡。」
"He spoke the words,\n   'Hear me, oh mighty Baron.\nThou hast angered me, and thus you are cursed.\nAll that you value you shall lose;\nall that you treasure shall be taken from you.'\nThe captain then dissolved into a pool of sticky blackness."	「他說出了這些話，\n「聽著，偉大的男爵啊。\n汝激怒了我，故汝被詛咒。\n汝所珍視者汝將失去；\n汝所寶愛者將被奪走。」\n隊長隨即化作了一池黏稠的黑色物質。」
"There is still a reward of 50 gold offered for the safe return of the Baronet and Elsa von Spielburg."	「仍有 50 金幣的賞金懸賞小男爵與艾爾莎·馮·史畢柏格的安全歸還。」
"For the capture or death of the brigand Leader there is the reward of 60 gold and the title of 'Hero of the Realm of Spielburg'."	「捕捉或擊殺山賊首領可獲得 60 金幣與『史畢柏格領地之英雄』的稱號。」
"The brigands are protected by a magic user.  Not much is known about him, but he seems to use more magic potions and powders than spells."	「山賊由一位法師保護。關於他知之甚少，但他似乎更常使用魔法藥水和粉末而非法術。」
"The leader of the brigands must be a good strategist.  He has organized and led many raids which result in much treasure and little loss on the part of the brigands.  Without their leader, the brigands would soon flee."	「山賊首領必定是個傑出的策士。他組織並領導了許多掠奪，帶來大量戰利品卻傷亡甚少。沒有他們的首領，山賊很快就會逃散。」
"There are now too few guards to take out the brigands, who still rob our people and drive away the traders.  They hide somewhere near the edge of this valley."	「現在守衛太少了，無法對付仍在搶劫人民、驅趕商人的山賊。他們躲在山谷邊緣某處。」
"This was once a very wealthy valley.  Many merchants have been robbed by the brigands.  There is a merchant in town who could tell you about his recent loss."	「這曾是個非常富裕的山谷。許多商人都被山賊搶劫過。鎮上有個商人可以告訴你他最近的損失。」
"Baba Yaga cursed the graveyard such that the dead can not rest at night.  One cannot go near the graveyard at dark without risking one's own death unless one uses protection."	「芭芭雅嘎詛咒了墓地，使死者在夜間無法安息。夜間無法靠近墓地而不冒生命危險，除非使用保護。」
"There is an unguent you can purchase from the Healer which protects against the dead that walk at night."	「治療師那裡有可以購買的藥膏，可以保護你免受夜間行走的死者傷害。」
"'Hero of the Realm of Spielburg' is a title of respect and honor.  A true hero can release this land from its curse by using intelligence and courage."	「『史畢柏格領地之英雄』是尊敬與榮譽的稱號。真正的英雄可以用智慧與勇氣將這片土地從詛咒中解放出來。」
