The chasm is about six feet across and ten feet deep.	峽谷寬約六呎，深約十呎。
There is a dark rope stretched tautly across the path.  It can easily be avoided by stepping over it.	有條黑繩子繃得很緊，橫跨小徑。你可以輕易地跨過去。
The bridge looks sturdy resting on its pole across the chasm.	木橋靠著一根柱子跨越峽谷，看起來很牢固。
The bridge looks sturdy resting on its poles across the chasm.  There is a sign on it which reads, "Cross Here".	木橋靠著兩根柱子跨越峽谷，看起來\n很牢固。橋上有張告示寫著「在此\n渡過」。
Sturdy looking bridge with two support poles across the chasm.  A sign that reads: "Cross Here" is atop the bridge.	牢固的木橋有兩根支柱橫跨峽谷。\n橋頂上有張告示寫著「在此渡過」。
There are two bridges which cross the chasm.	有兩座橋跨越峽谷。
The sacks seem to be full of grain.	麻袋看起來裝滿了穀物。
The barrels look like empty wine casks.	木桶看起來像空的葡萄酒桶。
Nothing but cobwebs.	只有蜘蛛絲。
You see a rope tautly strung about 6 inches off the floor.	你看到繩子繃得很緊，離地板約 6 吋。
Don't -- you'll get dizzy.	別──你會頭暈。
The building to the north has a window and a single door.	北邊的建築有一扇窗和一扇門。
You can see the fortress wall and the open gate.	你可以看到城牆和敞開的大門。
You can see the fortress wall and the closed gate.	你可以看到城牆和關閉的大門。
You're not near any window	你離窗口太遠了。
Yep, it's a door all right	是的，確實是扇門。
An empty cabinet.	空的櫃子。
You don't have much time to look at toys.	你沒時間看玩具。
The cabinet seems to have some kind of hasp.	櫃子似乎有某種門環。
Get close for a good look.	靠近看得更清楚。
The rugs are too big to put into your backpack and too heavy to carry around.  You do notice a pit trap under the spread-out carpet.	地毯太大放不進背包，也太重抬\n不動。你注意到攤開的地毯下有個\n陷阱。
The rope is securely fastened and is pretty useless anyway.	繩子繫得很牢，不過也沒什麼用。
Your life is in grave danger and you want to play with toys?  What kind of hero are you?.	你生命危在旦夕還想玩玩具？你\n算什麼英雄？
It's already open.	已經打開了。
You're not close enough	你靠得不夠近。
The door is closed.	門是關閉的。
You thought that the Troll concealed some of its treasure in that thick beard, but you didn't find any there.	你以為巨魔把寶藏藏在那濃密的鬍子\n裡，但你什麼都沒找到。
Points Available	可用點數
TAB to move around,\nArrows to adjust values.	按 TAB 移動，\n按方向鍵調整數值。
Are you sure you want to start over?	你確定要重新開始？
Name :	姓名：
Strength	力量
Intelligence	智力
Agility	敏捷
Vitality	體質
Puzzle Points	拼圖點
Experience	經驗
Health Points	生命力
Stamina Points	耐力
Magic Points	法力
Weapon Use	武器
Parry	招架
Dodge	閃避
Stealth	潛行
Pick Locks	開鎖
Throwing	投擲
Climbing	攀爬
You Are Carrying:	你正在攜帶：
Nothing	無
. . . and more	…等等
Gold Coins	金幣
Silver Coins	銀幣
Weight Carried	已攜帶重量
Max Weight	最大負重
MP	法力
Spells:	法術：
Skill	技能
No rest for the weary.  Something's after you!	疲憊者無寧日。有什麼東西追著你！
All the excitement of the battle has caused you to lose your appetite.	戰鬥的興奮讓你沒了食欲。
You only think you can smell that.	你只是以為你聞到那種味道。
Cheetaur claws are very rare except on Cheetaurs.	獵豹人的爪子除了在獵豹人身上\n外很少見。
You already have the Troll's beard.	你已經有巨魔的鬍子了。
That's not easy to do, especially since this is not a Troll.	那不容易做到，尤其是因為這不是\n巨魔。
You look all around, but you can't find any of those.	你四處看看，但你找不到那種東西。
There is nothing here to fight.	這裡沒有可以戰鬥的東西。
Maybe that creature is magical.	也許那生物是魔法造物。
Hero Status	英雄狀態
Enemy Status	敵人狀態
You cannot make the arcane gestures to cast spells while carrying a shield.	你拿著盾牌時無法做出咒語的奧秘\n手勢。
This might not be the best time for practicing non-combat spells.	現在可能不是練習非戰鬥法術的最\n好時機。
Go ahead!	去吧！
You're too close.	你靠得太近了。
You're too busy!	你太忙了！
You ARE!	你確實是！
You're not fighting, you're PRACTICING!	你不是在戰鬥，你是在練習！
Why would you want to do that?	你為什麼要那樣做？
"Do not ramble, my friend"	「別嘰哩呱啦，朋友」
"Will you pay?"	「你會付錢嗎？」
"Will you fight?"	「你會戰鬥嗎？」
"I'm sorry.  Since you have no skill in parrying blows, you would receive no benefit from my instruction."	「我很遺憾。由於你沒有招架的\n技能，你從我的指導中得不到任何\n好處。」
The weapon master carries a blunted practice sword, in the belief that students retain more of their learning if they survive the practice sessions.	武器師傅拿著一把鈍的練習劍，因為\n他相信學生如果在練習中活下來會保\n留更多知識。
"Please don't bore me, young adventurer.  Ask me about something interesting to me."	「請別讓我感到厭倦，年輕的冒險\n家。問我一些我感興趣的事。」
"Fighting is both an art and a skill."	「戰鬥既是藝術也是技能。」
"It is a skill in the use of the muscle strength and agility's control."	「這是肌肉力量和敏捷控制的技能。」
"It is an art in the out-witting and out-maneuvering of the opponent."	「這是以聰慧應對和機動迴避對手\n的藝術。」
"I am, of course, a most skilled artist."	「當然，我是最熟練的藝術家。」
"Do you fight?"	「你會戰鬥嗎？」
"If you were a swordsman skilled in both attack and parry, we could have had a practice bout."	「如果你是個攻防兼備的劍客，我們\n就可以來一場練習比賽。」
"I am the Weapon Master."	「我是武器師傅。」
"You will find them very skilled at fighting.  After all, I am the one who trains all of the guards at this castle."	「你會發現他們戰鬥能力很強。畢竟，\n我就是訓練這座城堡所有衛兵的人。」
"The Baron had the wisdom to recognize greatness when I presented myself.  Thus he made me Weapon Master."	「男爵有遠見認出我的偉大。因此他\n讓我做了武器師傅。」
"The Baronet had some minor talent with weapons, but he was too impatient.  If he had but listened and learned what I teach, he would never have been lost."	「少爺在武器上有些小才能，但他太\n沒耐心了。如果他肯聽課和學習我的\n教誨，就不會迷失。」
"I never use a shield or armor under most circumstances.  It only gets in the way of my agility and dodging ability.  It is best used by those who are strong, but not swift or agile."	「大多數時候我不用盾牌或盔甲。它\n只會妨礙我的敏捷和閃避能力。它最\n適合那些強壯但不敏捷的人用。」
"En garde!" shouts the Weapon Master...	「小心！」武器師傅喊著…
And the lesson begins!	課程開始了！
"Enough!" cries the Weapon Master.	「夠了！」武器師傅叫著。
"Be more aware of the angle with which your weapon approaches your opponent.  The thrust bites quick and deep, but the swing will do more damage if it connects."	「要更留意你的武器朝向對手的角\n度。刺擊又快又深，但揮擊如果擊中\n會造成更多傷害。」
