"He guarantees that the brigands won't give Elsa any bull."	「他保證這些山賊不會跟艾爾莎胡鬧。」
"Ah yes, the 'Mirror with the Leer', as Erasmus calls it (or was it Fenrus?). It reflects a spell back on the caster of the spell."	「啊，沒錯，伊拉斯謨叫它『邪笑之鏡』（還是芬魯斯叫的？）。它會把法術反射回施法者身上。」
"Now where did I put that mirror... Was it on the desk in Elsa's office or else in the office on Elsa's desk?" 	「現在我把那面鏡子放在哪了……是放在艾爾莎辦公室的桌子上，還是放在艾爾莎桌子上的辦公室？」
"You snooze, you lose.  And my banana trick has appeal of its own."	「你打瞌睡就會輸。而且我的香蕉戲法有其獨特的魅力。」
"You must know the 'Blade Braggart'.  He used to show off in the castle courtyard all the time."	「你一定知道『刀光自大狂』。他老是在城堡中庭炫耀。」
"Elsa once asked if 'Rapier Ruler' would teach her to use the sword, and the 'Sword Bore' told her he would not waste his talent on females." 	「艾爾莎曾經問過『長劍統治者』願不願意教她用劍，而『劍術悶蛋』卻說他不會把才華浪費在女性身上。」
"She came to me in tears.  After all, she was only nine at the time."	「她眼淚汪汪地來找我。畢竟她那時才九歲。」
"She can teach old 'Weapon Windbag' a thing or two now!  Her arm is true, and she's truly disarming." 	「現在她可以教那老傢伙『武器老嘚吧』一兩招了！她劍術高超，真是令人印象深刻。」
"Talking is a speciality of those who know not what they talk about."	「談話是那些不知道自己在說什麼的人的專長。」
"You know me?  Then perhaps you have come to help.  Perhaps you are able to take the child from the band."	「你認識我？那也許你是來幫忙的。也許你能把小孩從這幫人手中救出來。」
"Alas, poor Yorick!  I know me well."	「唉呀，可憐的尤瑞克！我太瞭解我自己了。」
"Ten years ago, I swore I would find Elsa no matter what.  It took me two years to find her, here with the brigands, and I've posed as her warlock ever since."	「十年前，我發誓一定要找到艾爾莎，無論如何。我花了兩年時間才在這裡找到她跟這些山賊在一起，從那時起我就一直偽裝成她的巫師。」
"I couldn't break the spell on her, nor could I leave her to grow up into an attractive woman surrounded by rogues and scoundrels."	「我無法破除她身上的詛咒，也無法任由她長大成為一個被無賴和騙子包圍的美女。」
"Someone had to defend her honor!"	「得要有人為她的名譽辯護！」
"Take yourself there."	「你自己去那裡。」
"ME" sees you preparing your spell and...	「我」看到你在準備法術……
Now?? 	現在？？
"It's 'ME'." 	「那是『我』。」
Caravan	商隊
Disenchantment	解除詛咒
Dispel	驅散術
"Be more specific, my friend."	「請說得更具體一點，朋友。」
Exit	離開
Fortress	要塞
Jester	弄臣
"If you have business to do, then get busy doing your business."	「如果你有事要做，那就開始做吧。」
Maze	迷宮
Me	我
Minotaur	牛頭人
"Can't you see that's nothing to me?  You'd better flee."	「你看不出對我來說那算什麼嗎？你最好逃命。」
"The brigands will come to spoil your fun.  You'll be undone."	「山賊會來破壞你的樂趣。你會完蛋。」
