Your garage is already full of junk; you don't need to add to the clutter.	你的車庫已經堆滿雜物；用不著再增加亂七八糟的東西。
Odds and ends.	零零碎碎的東西。
Ends and odds.	五花八門的玩意。
Things and stuff.	各種各樣的東西。
Jeff's jimcracks.	傑夫的小玩意。
Magical junk and mystical garbage.	魔法垃圾和神祕廢物。
You may not be a Wizard, but you have learned that touching a pentagram can be bad for one's health.	你不是法師，但你已經知道碰五芒星對身體不好。
A pentagram, used in incantations to conjure spirits.	五芒星，用來在咒語中召喚靈魂。
Glimpsing the skull and crossbones on this jar, you wisely leave it alone. 	看到這罐子上的骷髏骨頭標誌，你明智地不去碰它。
The label says "Instant Fire -- Just Add Water." 	標籤上寫著「即時之火——只需加水」。
Someone is watching you.	有人在看著你。
Tall shelves with books and odds and ends suited to magic line the walls. The ceiling and the far wall are mysterious indeed.  There is a strange symbol on the floor.  You also see a wide variety of arcane objects. 	高聳的書架和各式魔法用品堆滿了牆壁。天花板和遠牆神祕莫測。地上有奇異的符號。你也看到形形色色的秘術物品。
You see a wide variety of arcane objects.  For example: 	你看到形形色色的秘術物品。舉例來說：
Scrolls covered with mysterious symbols and arcane incantations.	布滿神祕符號和秘術咒語的卷軸。
A toaster oven, very rarely used -- electricity hasn't been invented yet. 	烤箱，很少用到——電力還沒被發明出來。
Crystal balls, useful only to those initiated into the ways of witches.	水晶球，只有通曉巫術之道的人才用得上。
Books dealing with sorcery, necromancy, and other occult subjects. 	討論魔法、死靈術和其他神祕學的書籍。
Dried Mantray jerky. 	乾製曼特雷肉乾。
A balance scale.  Zara uses it to measure powders and to maintain the magical balance. 	天秤。札拉用它來量取粉末，維持魔法平衡。
A hooded robe for when it rains in here.	下雨時穿的帽篷斗篷。
Tinsel and chaff, very good for avoiding radar.	金屬絲和糠秕，非常擅長躲避雷達。
It wouldn't be a good idea to throw things in here.  You might break something and anger Zara. 	在這裡亂扔東西不是好主意。你可能會打破什麼東西，惹怒札拉。
You've already done that.	你已經這樣做過了。
