Her tree is nearby.	她的樹就在附近。
The Dryad is a tree nymph.	樹精是森林精靈。
She's very magical.	她很有魔力。
This is boring!	這太無聊了！
Is that all you care about?	你就只在乎這個？
Shall we dance again?	咱們再跳一次舞好不好？
What about the human?	那人類呢？
Maybe if we ignore it, it'll go away!	也許咱們假裝沒看到，它就會自己離開！
Let's dance!	跳舞去！
How rude!!	真沒禮貌！！
Why, I never!	天哪，我從沒見過！
Nobody tries that with us!	沒人敢這樣對我們！
Now you're really going to get it!!	現在你死定了！！
What an insult!!	真是侮辱！！
You'll just have to dance!!	你一定得跟我們跳舞！！
Have to dance!!	一定要跳舞！！
Dance for us!!	為我們跳舞！！
Dance now!	現在就跳！
Dance!!!	跳舞！！！
Oh, it's you again!	喔，又是你啊！
Can you dance better now?	你現在能跳得更好嗎？
We love to watch you dance.	我們喜歡看你跳舞。
You'd better play nice!	你最好乖乖的！
Did you meet the Dryad?	你見過樹精嗎？
We'd love to see you dance.	咱們很想看你跳舞。
Will you dance for us??	你願意為我們跳舞嗎？？
Will you dance?	你要跳舞嗎？
Dance?  Dance??	跳舞？  跳舞？？
Dance???	跳舞？？？
C'mon now! That's HARDLY a heroic action!	拜託啦！這根本稱不上英雄的行為！
GADZOOKS!	天哪！
I'm sorry, but this game has a PG rating.	對不起，這個遊戲是限制級的。
You didn't really say that, did you?	你沒真的說那個吧？
I'm not programmed to do that sort of thing!	我沒有被設計來做那種事！
That wouldn't be appropriate.	那會不太恰當。
The pressure gets to you after a while, doesn't it?	一段時間後壓力會對你產生影響，對吧？
Didn't your Momma teach you any better than that?	你媽沒有教你更好的禮儀嗎？
ODS BODKINS!	天啊！
You see nothing special.	你看不出什麼特別的。
It is just as it appears.	就跟看起來的一樣。
It looks pretty normal.	看起來很普通。
It's not important.	沒什麼重要的。
"Yes, the weather does what the weather will do, does it not?"	「是啊，天氣就是天氣會做的事，不是嗎？」
"Surely you jest!"	「你一定是在開玩笑！」
"I'm not sure that I understand you"	「我不太確定我是否理解你的意思」
"You seem to be talking without saying very much."	「你好像在空話連篇。」
"Beg pardon?"	「什麼？」
"Hrrmph! Ahem! Yes, as I was saying....where were we?"	「呃哼！咳！是的，我剛剛在說…咱們說到哪了？」
"Oh, what a glorious day it was! I...... Oh, hello there!"	「喔，那天真是榮耀的一天！我…… 喔，嗨！」
"You fiendish witch! I will have you...... Oh, it's you, my friend!"	「你這該死的女巫！我會…… 喔，是你啊，我的朋友！」
"Oh, Barnard, bravest of the brave, you cannot be gone from us so soon.... What? What? You're still here, my fellow adventurer?"	「喔，巴納德，最勇敢的勇者，你不能這麼快就離開我們…… 什麼？什麼？你還在這裡，我的冒險同伴？」
We're sorry, but the pixel you clicked on is not in service at this time.  Please check your mouse and click again.\nThank you!	很抱歉，你點擊的像素目前無法服務。請檢查你的滑鼠，然後重新點擊。\n謝謝！
Of all the places to click on, you had to choose THIS one!	在所有可以點擊的地方，你偏偏要選這一個！
If there was something interesting and informative at this location on the screen, we would certainly have put up a much more interesting and informative message than this one.	要是畫面這個位置有什麼有趣和有用的東西，我們一定會放上比這個更有趣、更有用的訊息。
This is a pixel.\nThis is only a pixel.\nIf this had been a REAL picture element, you would have seen a REAL message.	這是一個像素。\n這只是一個像素。\n要是這是真正的圖像元素，你會看到真正的訊息。
You have reached the residence of Mr. and Mrs. Pixel.  We are unable to come to the screen right now, but if you leave your game and character at the sound of the beep...	你已到達像素先生和太太的住所。我們現在無法回到畫面，不過如果你在嗶聲時留下你的遊戲和角色…
There is a place between shadow and substance...\nbetween reality and imagination...\nbut THIS isn't it!	有個地方介於影子與實質之間…\n介於現實與想像之間…\n但這裡不是！
