# 首批:主選單 / 休息系統 / 版權 / 天空。英文(可省尾空白) <TAB> 中文
Introduction	序章
Start New Hero	建立新英雄
Restore Game	讀取進度
Go to Town	前往城鎮
Continue Normally	正常繼續
Where to, Hero?	英雄,要往哪去?
The software you are now using was produced through the efforts of many people: designers, artists, programmers, musicians, and lots of other hard-working folks.	您現在使用的這套軟體,是由許多人共同努力打造的成果:設計師、美術、程式設計師、音樂家,以及許多辛勤付出的夥伴。
If you make copies of this software for any reason other than to make a personal backup, you are not only breaking the law, but raising the cost of software for all legitimate users.  PLEASE DO NOT MAKE ILLEGAL COPIES OF THIS GAME!	若你基於個人備份以外的任何理由複製本軟體,不僅觸犯法律,更會推高所有正當使用者的軟體成本。請勿非法複製本遊戲!
Oh, by the way . . .  You will need the information contained in the printed documentation to successfully complete this game.  In other words, it's not just the law . . . It's a good idea.	對了…你會需要印刷手冊裡的資訊,才能順利完成本遊戲。換句話說,這不只是法律問題…也是個好主意。
10 minute rest	休息 10 分鐘
30 minute rest	休息 30 分鐘
60 minute rest	休息 60 分鐘
Sleep all night	睡到天亮
Stay awake	保持清醒
You just can't sleep during the daytime.	你在白天就是睡不著。
You awake as the sun begins to rise.	你在旭日初升時醒來。
How long, Hero?	要多久呢,英雄?
You're too impatient to rest right now.	你現在太焦躁,靜不下來休息。
The sky is clear.	天空晴朗無雲。
The sun feels warm.	陽光暖洋洋的。
The stars shine.	繁星閃爍。
