"What was that noise?"	「那是什麼聲音?」
"Must be those Brigands playing games."	「一定是那些山賊在玩把戲。」
"I guess I'm just getting jumpy."	「我想我只是有點緊張罷了。」
"Is anyone there?"	「有人在嗎?」
"This place is spooky."	「這地方陰森森的。」
Before you can escape, the Minotaur is upon you!	還沒等你逃開，牛頭怪已經撲向你!
You hear a snick as the hasp on the gate is opened.	你聽到一聲輕響，大門的門栓被打開了。
"DING DING DING DING...."  Well, maybe the brigands aren't such inhospitable creatures after all.	「叮叮叮叮……」好吧，也許山賊也不是那麼不好客嘛。
Then again, maybe they are.	不過話說回來，說不定他們是。
There is no magical aura present.	偵測不到任何魔法氣息。
Sheer cliff walls form a narrow box canyon where the brigands have built a fortress.  There is a pile of debris where the steep cliff walls meet the fortress.	陡峭的懸崖圍成狹窄的盒狀峽谷，山賊在此建造了堡壘。陡峭的懸崖與堡壘交會處有堆積的瓦礫。
You see a large Minotaur patrolling the canyon.	你看到一隻碩大的牛頭怪在峽谷巡邏。
To the Minotaur, you look like a nice meal.	對牛頭怪來說，你就像一頓美餐。
His aim in life is to make shish kebab.  I hope you're not skewered.	他的人生目標是烤肉串。希望你別被串成烤肉。
Life as an archer is never dull nor pointless.	弓箭手的日子既不沉悶也不無聊。
He has an arrow with your name on it.	他手上有支刻著你名字的箭。
He has an IQ so low he can't spell IQ.	他的智商低到連「智商」的英文都拼不出來。
You grin sheepishly; the door has no lock, and swings open at your touch.	你尷尬地笑了；門上沒有鎖，輕輕一推就開了。
If that ISN'T the safe way out of here, you are probably going to become an ex-hero.	如果這不是逃出去的安全方式，你大概會成為「前任英雄」。
It looks like a plain, simple, harmless box to you.	在你眼裡，這就是個普通、簡單、人畜無害的盒子。
Your life is in grave danger and you want to play with toys?  What kind of hero are you?	你的性命正在危險中，還想玩玩具?你算什麼英雄?
Your life is in grave danger and you want to play with toys? What kind of hero are you?	你的性命正在危險中，還想玩玩具?你算什麼英雄?
The chasm is too wide to jump and too deep to climb.  There seem to be a number of porcupines at the bottom.	裂谷太寬無法跳過，太深無法爬下。底部似乎有不少豪豬。
Empty wine barrels.  The winters here are very cold.	空酒桶。這裡的冬天非常寒冷。
It's a fortification for archers to stand behind.	這是弓箭手用來躲藏的防禦工事。
They're too heavy to carry.	它們太重，搬不動。
Sacks of grain.  Stored for the winter.	一袋袋穀物。為冬天儲存的。
You can't see through the windows from here.	你從這裡看不穿窗戶。
You see a group of brigands playing cards.  One looks back at you in surprise and starts yelling.	你看到一群山賊在打牌。其中一個驚訝地轉身看著你，開始大喊。
All that can be seen through the window are vague shapes and outlines.	從窗戶透過去只能看到模糊的身影和輪廓。
